Terim,Açıklama
"Faiz Dışı Denge (Primary Budget Balance)","Faizler hariç tutularak bakılan dengeye de faiz dışı bütçe dengesi deniyor. Bunu şöyle formüle edebiliriz: Faiz dışı denge = Bütçe gelirleri – faiz dışı giderler. Faiz dışı dengenin önemi büyüktür. Bu dengeye bakmanın amacı şu soruyu yanıtlamaktır: Eğer faiz ödemesi olmasaydı bütçe açık mı verirdi fazla mı? Bunun için bütçe gelirlerinden faiz dışında kalan giderleri düşerek bir denge buluruz. Bu denge açık veriyorsa bütçe, faiz ödemeleri olmasa bile açık veriyor demektir ki o zaman ya gelirleri artırmak ya da giderleri kısmak için önlem almak gerekir. Eğer faiz dışı fazla söz konusuysa o zaman bütçe gelirleri faiz dışı giderleri karşılayabilmekte ve faiz ödemeleri için de bir miktar fazla elde edebilmektedir. Yani borçlanma ihtiyacı en azından o faiz dışı fazla miktarı kadar düşüyor demektir. Faiz dışı dengede üç durumdan birisi karşımıza çıkar: Eğer bütçe gelirleri = faiz dışı giderler ise faiz dışı denklik söz konusudur. Eğer bütçe gelirleri > faiz dışı giderler ise faiz dışı fazla vardır. Eğer bütçe gelirleri < faiz dışı giderler ise faiz dışı denge açık veriyor demektir."
"Faktoring","Faktoring; yurt içi ve yurt dışı piyasalar için mal ve hizmet satımı faaliyetinde bulunan firmaların mal ve hizmet satışından doğmuş veya doğacak kısa süreli ticari alacak hakkını devretmesi karşılığında likit fon elde etmesi işlemidir. Bunun yanı sıra, firmalara vadeli satış bedellerini vadesinden önce tahsil etme imkânı sağlayan finans kuruluşlarına da ‘faktoring’ kuruluşları denilmektedir. Bu firmalar, vadeli satış yapmış şirketlerin fatura edilmiş alacaklarını peşin, fakat iskontolu olarak satın alırlar ve vadesi geldiğinde alacağı kendileri tahsil ederler. Bir örnekle açıklayalım. A Şirketinin B şirketinden 2 yıl sonra 100 bin lira senetli alacağı olduğunu düşünelim. A Şirketi bu alacağını erken tahsil etmek için bir miktar iskontoya razı olmakta ve senedi Faktoring Şirketine mesela 75 bin liraya devretmiş olsun. Bu durumda Faktoring Şirketi, 2 yıl sonunda B Şirketinden 100 bin lira tahsil etmek için bugün A şirketine 75 bin lira ödemiş olmaktadır."
"Fayda (yarar)","Mal ya da hizmetlerin ihtiyaçları giderebilme derecesine fayda denir. Su, faydalı bir maldır çünkü insanın susuzluğunu yani su içmeye duyduğu ihtiyacı giderir. İnsan yaşamı su içmeden sürdürülemediği için suyun faydası büyüktür. Buna karşılık her gün su içen bir kişi bir bardak sudan sağladığı faydanın farkında olmasa da iki gün su içmediği takdirde içtiği bir bardak suyun faydasının ne kadar yüksek olduğunu anlar. Bu anlamda fayda zamana ve duruma göre değişiklik gösteren göreli bir kavramdır. Ekonomi teorisinde faydanın ölçülebilir olup olmadığı konusunda iki yaklaşım vardır. Ordinal fayda yaklaşımına göre fayda sayısal olarak ölçülemez. Fayda ancak en çok, çok, daha çok, daha az gibi ya da birinci derecede ikinci derecede gibi ordinal anlamda bir sıralamaya tabi tutulabilir. Kardinal fayda yaklaşımına göre fayda sayısal olarak ölçülebilir. Uygulamadaki ölçme zorlukları nedeniyle ordinal fayda yaklaşımı daha çok taraftar bulmaktadır."
"Finans","Finans; ihtiyaç duyulan kaynakların uygun koşullarla sağlanması ve etkin bir şekilde kullanılmasıyla ilgili faaliyetlere verilen genel addır. Finansı şöyle de tanımlayabiliriz; kişilerin veya kurumların maddi gelir elde etmeleri, yatırım yapmaları ve zaman içinde bu yatırımları değerlendirmeleridir. Bu faaliyetlere ilişkin disiplinin adı da finans bilimidir. Finans biliminin uğraşı alanı başlıca üç dala ayrılır: Bireysel finans bir kişinin ya da ailenin bütçe, sigorta, tasarruf, yatırım, kredi, tüketim harcamaları gibi konularda alacakları ve uygulayacakları kararlarla ilgilenir. Kişinin ya da ailenin sınırlı kaynakla en doğru kararları almasını ve onları belirsizlik ve risklerden korumaya sağlamayı amaçlar. İşletme finansı ya da finansal yönetimin amacı bir işletmenin aktiviteleri için fon sağlamaktır. Finansal yönetim genellikle karlılık ve riskin dengelenmesini gerektirirken, işletmenin kazancını ve değerini en yükseğe taşımaya çalışır. Kamu maliyesi; devlet ve kamu kuruluşlarının ihtiyaçlarını karşılamak üzere yapılan harcamaları ve gerekli gelirleri inceler, dengelemeye çalışır."
"Finansal İstikrar Kurulu (Financial Stability Board)","2009 yılında G 20 tarafından kurulmuş bir kuruldur. Ulusal kuralları ve uygulamaları koordine ederek bunları uluslararası standartlar haline getirmeye yönelik çalışmaları yapmakla görevlidir."
"Fiyat","Bir mal ya da hizmetin değiş tokuş değerine fiyat denir."
"Fiyat teorisi","Ekonomi teorisinin mal ve hizmetlerin fiyatlarının nasıl oluştuğunu analiz eden dalına fiyat teorisi deniyor."
"Fizibilite","Fizibilite; bir yatırımın yapılabilir olup olmadığına ilişkin bir araştırmadır. Yatırım kararlarının öncesinde bir durum değerlendirmesi yapılır ve bu değerlendirmeye göre o yatırımın kazançlı olup olmayacağına ve dolayısıyla yapılıp yapılmayacağına karar verilir. Öyle bir çalışma sonucunda hazırlanan rapora da fizibilite etüdü denir. Değerlendirme sonucunda karlı bulunan yatırımlar için fizibil yani yapılabilir denilir. Fizibilite çalışması yeni bir yatırım kararı için yapılabileceği gibi, mevcut tesislerin genişletilmesi, yenilenmesi maksadıyla da yapılabilir. Bir fizibilite çalışmasında esas itibariyle beş ana konuda bilgiler toplanıp bir değerleme yapılmaya çalışılır. (1) Piyasa incelemesi, (2) Kuruluş yeri incelemesi, (3) Mali inceleme, (4) Teknolojik inceleme, (5) Hukuki inceleme. İnceleme sonucunda bu beş ana daldaki bulgular bu yatırımın yapılabilir olduğu sonucuna ulaşılıyorsa fizibilite raporu yatırımın fizibil olduğu bulgusuyla sonuçlandırılır."
"Forex ve Forex Piyasası Nedir?","Forex ya da Fx İngilizce Foreign Exchange sözcüklerinden türetilmiş bir kısaltmadır. Foreign Exchange (ya da fx) günümüzde büyük ölçüde döviz ya da yabancı para birimi anlamında kullanılsa da aynı köklerden gelen Forex kısaltması bir ulusal para ile bir başka ulusal paranın değiştirilme işlemi için kullanılıyor. Bu işlemlerin yapıldığı yere Forex Piyasası, bu işlemi yapan kuruluşlara da Forex Kuruluşu adı veriliyor. Forex işleminin ayırt edici özelliklerinden birisi düşük miktarlı sermaye ile yüksek miktarlı işlem yapabilmeye olanak sağlayan ve adına kaldıraç kullanımı denilen sistemin varlığıdır. Önceleri döviz piyasasında başlamış olan Forex işlemleri bugün dövizin yanı sıra altın, gümüş, petrol, pamuk gibi emtialar, hisse senetleri, uluslararası endeksler üzerinde de yapılıyor."
"Forward İşlemi","Sözleşmeye konu olan bir işlemde (bu bir para piyasası işlemi olabilir) vade, faiz ve miktar gibi unsurlar üzerinde bugünden anlaşılan, ancak ileri bir tarihte başlayacak ve daha ileri bir tarihte sona erecek işlemleri ifade etmektedir. Asıl varlık fiyatındaki dalgalanmalardan korunmak isteyen ya da ondaki değişimlerden kâr elde etmek isteyen yatırımcıların kullanabileceği bir üründür."
"FTSE 100 Endeksi","Londra Borsası'nda piyasa değeri en yüksek 100 şirketin hisse senetlerinin yer aldığı endeksin adıdır. Financial Times gazetesi ve Londra Borsası tarafından ortaklaşa yürütülmektedir."
"Future İşlemi","Standart miktar ve kalitede bir varlığın önceden belirlenmiş bir fiyattan gelecekte belirli bir tarihte teslim etme ya da teslim almaya ilişkin bir sözleşmedir. Vadeleri standarttır ve organize borsalarda işlem görmektedirler."
"G-8","Ekonomik açıdan dünyanın en zengin 7 ülkesinin, küresel sistemin ekonomik ve parasal sorunlarını görüşmek ve bu konularda işbirliği gerçekleştirmek amacıyla oluşturdukları gurubun adıdır. Bu grubun üyeleri ABD, Japonya, Almanya, İngiltere, Fransa, İtalya, Kanada ve Rusya’dır. İlk kez G-6 adı altında 6 üye ile 1975 yılında toplanmış, 1976 yılında Kanada katılınca adı G-7 olmuş ve 1997 yılında Rusya’nın da gruba girmesiyle adı G-8’e dönüşmüştür. Bu 8 ülkenin Ekonomi Bakanları ve sonra da liderleri yılda bir veya iki kez bir araya gelerek küresel sistemin ekonomik ve parasal sorunları hakkında görüş alışverişinde bulunurlar ve izlenecek ortak politikalar için altyapı oluşturmaya çalışırlar. Her ne kadar burada oluşturulan politikalar bu devletleri bağlar gibi görünse de bu ekonomiler küresel sistemin ekonomik gücünün beşte ikisini oluşturduğu için küresel sistemin tümünü etkileyecek ağırlıktadır."
"G-20","Dünyanın 20 büyük ekonomisinin bir araya geldiği gruba G 20 (Group of Twenty) adı veriliyor. Bu grupta 19 büyük ülkenin ekonomiden sorumlu bakanları ya da maliye bakanlarıyla Merkez Bankası Başkanları ve Avrupa Birliği Avrupa Konseyi Başkanı ve Avrupa Merkez Bankası Başkanı bulunuyor. G-8 Maliye Bakanlarının Washington’da 25 Eylül 1999 tarihindeki toplantısında kuruluşu açıklanmıştır. Yılın belli zamanlarında Bakanlar ve Merkez Bankası Başkanları düzeyinde toplanmakta ve bu düzeyde belirlenen konular hakkında karar alınmasını sağlamak üzere de yılın belli zamanlarında bu ülkelerin Devlet Başkanları düzeyinde bir araya gelmektedir. G-20 grubunun üyeleri şunlardır: ABD, Çin, Japonya, Almanya, Fransa, İngiltere, İtalya, Kanada, Rusya, Hindistan, Arjantin, Türkiye, Brezilya, Meksika, Güney Afrika, Suudi Arabistan, Kore, Avustralya, Endonezya, Avrupa Birliği Dönem Başkanı ve Avrupa Birliği Merkez Bankası Başkanı. G-20 toplantılarında alınan kararlar küresel sistemin onda dokuzunu oluşturan ülkelerce alınmış sayıldığı için sisteme yön verici nitelik taşır. Dolayısıyla bu kararlar ülkelerin izleyeceği ekonomi politikası açısından yön gösterici olur."
"Geç Likidite Penceresi","Geç likidite penceresi; Merkez Bankasının 'borç veren son merci' fonksiyonu çerçevesinde, bünyesinde faaliyet gösteren Bankalararası Para Piyasası'nda bankalara TL depo borç verme ve bankalardan TL depo borç alma işlemidir. Geç likidite penceresinde işlemler gecelik vadede ve 16 ile 17 saatleri arasında, zorunlu karşılıkların tesis süresinin son iş gününde ise 16 ile 17.15 saatleri arasında gerçekleştirilir. Geç likidite penceresinden faydalanmak isteyen bankalar teminatları karşılığında limitsiz olarak, Merkez Bankası kotasyonlarından Merkez Bankasına TL depo borç verebilmekte veya TL depo borç alabilmektedirler."
"Gelir ve Kullanımı (Tüketim ve Tasarruf)","Gelir (Y) iki şekilde kullanılır: Tüketim (C) ve tasarruf (S). Bunu şu basit denklemle gösterebiliriz: Y = C + S. Tüketim, gelirin bir fonksiyonudur. Yani tüketim gelire bağlı olarak hareket eder. Bunu da şöyle bir fonksiyonel ilişki ile gösterebiliriz: C = c (Y). Bu fonksiyonel ilişki aynı yönlü bir ilişkiyi gösterir. Yani gelir arttıkça tüketim de artar. Ne var ki artış oranı her zaman aynı olmayabilir. Yani gelir % 10 artarken tüketim % 10 artabileceği gibi % 10’un üzerimde ya da altında bir oranla da artabilir. Tüketimin artış oranı gelir sahibinin elde ettiği gelirin düzeyine, kişinin durumuna ve enflasyona bağlıdır. Düşük gelir düzeylerinde tüketim harcamaları gelirin neredeyse tamamını kapsar ve tasarrufa para ayrılamaz. Gelir yükseldikçe tüketimin gelir içindeki payında azalma olur. Aylık geliri 1.000 TL olan bir kişi gelirinin tamamını tüketime harcar ve hiç tasarruf yapamazken aylık geliri 10.000 TL olan kişi bunun 6.000 TL’sini tüketime 4.000 TL’sini tasarrufa ayırıyor olabilir. Bu durumda ilk kişinin tüketiminin geliri içindeki oranı % 100 iken ikinci kişinin tüketiminin gelirine oranı % 60’dır. Tasarruf, gelirin ve faiz oranının bir fonksiyonudur. Yani kişinin geliri arttıkça tasarruf oranı artacağı gibi faiz oranlarındaki artış da tasarruf oranının artmasında etkili olur. Bu fonksiyonel ilişkiyi şöyle gösterebiliriz: S = s (Y, i). Bu fonksiyonel ilişki de aynı yönlü bir ilişkiyi gösterir. Yani gelir artarken tasarruf da artar. Yüksek faiz oranı ise tasarruf etmek için bir teşvik görevi görür ve bunu da daha fazla tasarrufla neticelenir."
"Gelişen Ülkeler (Emerging Markets)","Gelişen ülkeler ya da İngilizce tabiriyle emerging markets, büyüme potansiyeli yüksek olan ve yüksek büyüme oranlarına sahip olan ülkeleri ifade eder. Bu ülkeler için finansal piyasalarda bu tür ülkelerdeki yatırımcıların karşılaşabileceği riskler ve bu risklerin büyüme potansiyeliyle ters orantılı olduğu şeklinde bir genel görüş vardır."
"Gelişmiş Ülkeler","Ekonomik olarak gelişmiş ülkeler, kişi başına düşen geliri yüksek olan ve bu gelir düzeyi ile birlikte birçok sosyal göstergesi de yüksek olan ülkelerdir. İnsana dair birçok temel ihtiyacın karşılanması açısından gelişmiş ülkeler sınıfına girebilir. Sağlık, eğitim, sosyal güvenlik, ulaşım, altyapı gibi birçok konuda dünya standartlarını yakalamış ülkeler gelişmiş ülkeler sınıfına girmektedir. Gelişmiş ülkelerin çoğu Avrupa, Kuzey Amerika, Avustralya ve Asya'nın bazı kesimlerinde yer almaktadır."
"Gelişmiş Pazar (Developed Market)","Gelişmiş ülkelerde yer alan ve sıklıkla gelişmiş finansal piyasalara ve etkin bir işlem yapma ortamına sahip olan piyasalardır. Gelişmiş pazar, hisse senedi, tahvil ve diğer yatırım araçları için yüksek likidite ve büyük ölçekte işlem yapma imkânı sunmaktadır."
"Gelişen Pazar (Emerging Market)","Daha fazla büyüme potansiyeli olan ve bu nedenle daha fazla risk taşıyan, hisse senedi ve tahvil piyasaları için yüksek büyüme oranlarına sahip ülkelerdir. Yatırımcılar, bu tür piyasalarda daha fazla risk alarak daha yüksek kazanç elde etme potansiyeline sahiptirler."
"Globalizasyon (Küreselleşme)","Küreselleşme; ülkeler arası ekonomik, kültürel ve siyasi etkileşimlerin artmasıyla birlikte dünya genelinde entegre olma sürecidir. Küreselleşme sonucunda dünya ekonomisi tek bir bütün haline gelmektedir. Bu süreç, sermayenin, malların, hizmetlerin, bilgilerin ve insanların daha serbest bir şekilde hareket etmelerine olanak tanır."
"Girişim Sermayesi (Venture Capital)","Girişim sermayesi; yeni kurulmuş veya büyümekte olan girişimlerin finansmanını sağlamak amacıyla yapılan yatırımdır. Bu tür yatırımlar genellikle yüksek risk taşır, ancak başarı durumunda yüksek getiri sağlama potansiyeli de vardır."
"Gişe Faiz Oranı","Gişe faiz oranı, Merkez Bankası'nın banka ve finansal kurumlara yaptığı kısa vadeli kredi verme işlemlerinde uyguladığı faiz oranıdır. Gişe faiz oranı, Merkez Bankası'nın para politikası uygulamalarının bir göstergesi olarak önemli bir role sahiptir."
"Girişimci (Entrepreneur)","Yeni iş kurmak veya mevcut bir işin büyütmek için risk alarak çalışan kişidir. Girişimciler, yenilikçi fikirleri hayata geçirmek ve piyasalarda rekabet avantajı elde etmek amacıyla girişimde bulunurlar."
"GlobaL Yatırımcı","Dünyada hisse senedi, tahvil gibi yatırım araçları üzerinden yapılan yatırımlarda, yatırımcıların farklı ülke ve piyasalara yönelerek portföylerini çeşitlendirmesi anlamına gelir. Global yatırımcılar, global ölçekte fırsatları değerlendirmeyi hedefler."
"Herfindahl - Hirshman Endeksi","Piyasa yoğunlaşmasını gösteren bir endekstir. Piyasadaki firmaların piyasa paylarının karesi alınır ve bunlar toplanarak bir değere ulaşılır. Ulaşılan bu değer sıfıra yaklaştıkça piyasada yoğunlaşma azalıyor, sıfırdan uzaklaştıkça yoğunlaşma artıyor demektir."
"Heterodoks Ekonomik Yaklaşım","Heterodoks sözcüğü ekonomideki kullanımı itibariyle 'ana akımdan farklılaşmış, sapmış teori ve uygulamalar' anlamını taşıyor. Heterodox Yunanca'dan gelme bir sözcük. Sözcüğün temelini oluşturan iki parçadan heteros farklı, doxa ise öğreti anlamını taşıyor."
"IMF","IMF (Uluslararası Para Fonu), üye ülkelerin karşılaştıkları veya karşılaşma olasılığı içinde bulundukları ödemeler dengesi sorunlarını aşabilmeleri için onlara bir program çerçevesinde destek sağlamak üzere kurulmuş uluslararası bir kurumdur. 2016 sonu itibariyle IMF’nin 189 üyesi vardır. Bu 189 ülke, ekonomisinin gücüne uygun biçimde IMF’ye kota adı altında bir sermaye katkısında bulunur. SDR (özel çekme hakları)"
"İhracat Reeskont Kredisi","Reeskont işlemleri Merkez Bankası Kanununun 45. Maddesindeki düzenlemelere dayanılarak yürütülmektedir. Firmalar tarafından döviz üzerinden düzenlenmiş ve belirli koşulları taşıyan senetler, bankalara kırdırılarak iskonto ettirilmekte ve karşılığında kredi kullanılmaktadır. Bankalar da bu senetleri ikinci kez kırdırmak üzere Merkez Bankasına getirmekte ve karşılığında ihracat reeskont kredisi alarak bu kredileri ihracatçı firmalara yöneltmektedirler. İhracat reeskont kredileri senette belirtilen döviz tutarının, kredinin kullandırıldığı tarihte ilan edilen kurdan Türk lirası karşılığının bankalar aracılığıyla firmalara ödenmesi suretiyle kullandırılmaktadır. Kredilerin vadesinde geri ödemesi ise döviz olarak gerçekleştiğinden bu tutarlar Merkez Bankası’nın döviz rezervlerine eklenmekte ve bu rezervleri güçlendirmeye yaramaktadır."
"İkarus Çelişkisi","Kral Minos tarafından bir labirente hapsedilen Daedalus buradan uçarak kaçabilmek için kendisi ve oğlu İkarus’a balmumu ve kuştüyü karışımından kanatlar yapar. Kendisi kanatları takıp uçarak kaçmadan önce oğlu İkarus’a gökyüzüne fazla yükselmemesi ve güneşe yaklaşmamasını öğütler. İkarus, babasının ardından kanatlarını takarak uçmaya başlar ve labirentten çıkar. Ne var ki uzun süre hapis kalan İkarus uçmanın ve gökyüzünde yükselmenin tadına doyamaz. Uçtukça kendine güveni artar ve babasının öğütlerini unutarak güneşe doğru yükselir. Güneşin sıcaklığı, kanatlarındaki balmumunu eritince de denize düşer ve boğulur. Danny Miller 1990 tarihli İcarus Paradox adlı kitabında bu efsaneyi iş dünyasına uyarlar. Miller’a göre çoğu şirket, belirli bir başarıya ulaştıktan sonra bu başarı verdiği aşırı güvenle şirket yapısının karmaşıklıklaşması, maliyetlerin artması, rakiplerin stratejilerini küçük görme gibi yollara kolayca girerler. Bu tür yollara girdiklerinde de genellikle denetimi elden kaçırırlar ve sonuçta çöküşe kadar giderler."
"İmkânsız Üçleme (Impossible Trinity)","Ekonomideki imkânsız üçleme ya da üçlü açmaz (impossible trinity ya da trilemma) hipotezine göre; sermaye hareketlerinin serbestliği, sabit döviz kuru ve bağımsız bir para politikası uygulaması aynı anda var olamaz. Eğer bir ekonomide sermaye hareketleri serbestse ve sabit döviz kuru rejimi uygulanıyorsa o zaman bağımsız para politikası uygulamak mümkün değildir. Bu durumda para politikası sermaye hareketleri ve döviz kurundaki eğilimlere göre biçimlenecektir. Eğer bir ekonomide sermaye hareketleri denetim altında ise sabit döviz kuru rejimi uygulanabileceği gibi bağımsız para politikası da uygulanabilir."
"İşletme","İşletme iki anlama gelir: (1) Mal ve hizmet üretiminin gerçekleştirildiği iktisadi birimlere işletme denir. (2) Kâr amaçlı kuruluşların, kuruluşu, finansmanı, üretim araçlarının sağlanması, üretilen mal ve hizmetlerin pazarlanması, örgütlenmesi, yönetilmesi ve finansal olaylarının izlenmesini inceleyen sosyal bilime işletme adı veriliyor. Bir işletmenin başlıca amaçları; işletmenin piyasa değerini artırmak, topluma hizmet etmek, varlığını sürdürebilmek, işletme sahibine para kazandırmak, prestij sağlamak olarak sıralanabilir. Bu amaçlarını gerçekleştirebilmek için işletmelerin bir takım fonksiyonları yerine getirmesi gerekir. Bunları da şöyle sıralayabiliriz: Üretim fonksiyonu, pazarlama fonksiyonu, insan kaynaklarının yönlendirilmesi fonksiyonu, finansman fonksiyonu ve muhasebe fonksiyonu."
"İşsizlik Çeşitleri","Açık işsizlik; mevcut çalışma koşulları ve ücretler düzeyinde çalışmayı kabul ettikleri halde iş bulamayanların oluşturduğu işsizlik çeşididir. Mevsimlik işsizlik; mevsimlik olarak istihdam olanağı bulunan sektörlerde çalışanların bu mevsimler dışında işsiz kalmaları durumunda ortaya mevsimlik işsizlik çıkar. Tarım ve turizm sektörleri bu tür mevsimlik istihdamın yaygın olduğu sektörlerdir. Örneğin turizm sektörünün en yoğun çalıştığı yaz aylarında deniz kenarındaki otellerin doluluk oranı artar ve bu oteller bu süre içinde artan yükü karşılayabilmek için mevsimlik çalıştırmak üzere eleman işe alırlar. Yaz mevsimi bitip de doluluk oranları düştüğünde de bu elemanları işten çıkarırlar. Geçici işsizlik; çalışan kişilerin daha iyi koşullarda çalışabilmek için kendi istekleri doğrultusunda işten ayrılmaları ve yeni bir işe girinceye kadar işsiz kalmaları halini tanımlar. İstihdam oranının en yüksek olduğu ekonomilerde bile ortaya çıkabilecek bir işsizlik türüdür. Konjonktürel işsizlik; ekonomide ortaya çıkan durgunluk ve küçülme hallerinde işletmelerin maliyetlerini düşürerek ortama uyum sağlamak için istihdam azaltmasına gitmeleriyle ortaya çıkan işsizlik halidir. Yapısal işsizlik; ekonomide sektörler arasında ortaya çıkan yapısal değişikliğin yol açtığı bir işsizlik türüdür. Örneğin sanayileşen bir ekonomide tarım sektörü istihdam gücünü kaybetmeye başlar ve bu kesimden sanayiye kayma olur. Bu kayma, tarım sektöründe istihdam edilenlerin hemen sanayi sektöründe iş bulamamaları ve en azından bir süre işsiz kalmalarına yol açar. Teknolojik işsizlik; verimliliğin artırılması amacıyla üretimde daha fazla ve yoğun makine kullanımına geçilmesi, emek yoğun üretimden sermaye yoğun üretime dönülmesi işsizliği artırabilir. Bu durumda teknolojik ilerleme bir yandan verimlilik artışına yol açarken bir yandan da işsizlik artışı getirmiş olur. Gizli işsizlik; bir işletmede ya da bir sektörde çalışanların sayısı azaltıldığı halde o işletme ya da sektörün üretim miktarında bir azalma olmuyorsa orada gizli işsizlik var demektir. Gizli işsizlik aslında adına uygun bir durumu ifade etmez. Çünkü bir işletmede çalışanların bir bölümünü işten çıkarmamıza karşın orada üretim miktarı azalmıyorsa orada işsizlik değil tam tersine aşırı istihdam hali söz konusu demektir. Bu işsizlik türü en çok tarım sektöründe görülür."
"İşsizlik Histeresisi","Olivier Blanchard ve Lawrence Summers, uzun süren işsizlik oranlarının doğal işsizlik oranını yukarılara çektiğini, yani bu tür eğilimlerin uzun dönemli işsizlik oranının da değişmesine yol açtığını öne sürüyorlar. Blanchard ve Summers'a göre bunun temel nedenlerinden birisi sendikaların varlığı. Sendikalar, üyelerinin reel ücretinin düşmesine direnirler. Bu direnç ücretlerin düşerek işsizliğin azalmasını engeller ve işsizlik oranının sıfıra yaklaşmasını önlerler. Uzun süreli işsizlik ortamlarında sendikaların bazı üyeleri de işsiz kalır ve sendika üyesi olma konumunu kaybeder. Bu durumda sendikalar reel ücretlerin düşmesine karşı çıkarak eski üyelerinin iş bulmasına da engel olmuş olurlar. Dolayısıyla uzun süreli işsizlik ortamları doğal işsizlik oranını yukarı taşır. Blanchard ve Summers bu olguya 'işsizlik histeresisi' adını veriyorlar. Histeresis, Yunancadan alınmış bir kelime ve gecikme, kısa kalma anlamlarına geliyor. Asıl olarak fizikte kullanılıyor. Bir hamur topağını alıp da yumruğumuzla bastırıp bırakırsak yavaş yavaş eski biçimine dönmeye yöneldiğini görürüz. Topağa bastırma süremiz ne kadar uzun olursa eski hale dönüş o kadar zaman alır ve o kadar başarısız olur. Blanchard ve Summers'ın bu deyimi kullanma nedeni de budur. Uzun süren yüksek işsizlik doğal işsizlik oranının eski haline gelmesine engel olur."
"İşsizlik Oranı","İstihdam anketinin uygulandığı gün ve önceki hafta içinde kâr karşılığı, yevmiyeli, ücretli ya da ücretsiz olarak hiç bir işte çalışmamış kişilerden son 4 hafta içinde iş arama kanallarını kullanmış ve 2 hafta içinde işbaşı yapabilecek durumda bulunan 15 ve daha yukarı yaştaki kişiler işsiz sayılıyor. İşsiz sayısının toplam işgücüne bölünmesiyle de işsizlik oranı bulunuyor. Bu genel tanımdan hareketle bulunan işsiz sayısının yanı sıra bir de iş bulmaktan umudu olmadığı için iş aramadığı halde iş olsa hemen çalışmaya başlayacak durumda olduğunu ifade edenler var. Bu grupta olanlar işsizlik istatistiklerinde işsiz kategorisinde sayılmıyor. Bu kategoride olanları da işsizler toplamına eklediğimizde literatürde geniş işsizlik kamuoyunda gerçek işsizlik oranı olarak bilinen kavrama ulaşıyoruz."
"İşsizlik Sigortası Fonu","Oranları ülkeden ülkeye değişmekle birlikte, devlet, işveren ve işçiden yapılan prim kesintileriyle oluşturulan ve koşulları sağlayan sigortalılara işsiz kalmaları halinde ödemeleri gerçekleştiren fonlara işsizlik fonu ya da işsizlik sigortası fonu deniyor. İşsizlik sigortası, bir işyerinde çalışırken, çalışma istek, yetenek, sağlık ve yeterliliğinde olmasına rağmen, herhangi bir kasıt ve kusuru olmaksızın işini kaybeden sigortalılara işsiz kalmaları nedeniyle uğradıkları gelir kaybını belli süre ve ölçüde karşılayan, sigortacılık tekniği ile faaliyet gösteren zorunlu sigorta olarak tanımlanıyor. Her ay işveren tarafından Sosyal Güvenlik Kurumu’na verilen bildirgelerde gösterilen 'prime esas kazanç' üzerinden sigortalı ve işveren yüzde 1, devlet de yüzde 2 oranında işsizlik sigortası primi ödüyor. Bu ödemeler İşsizlik Sigortası Fonunda toplanıyor ve işsiz kalanlara buradan ödeme yapılıyor."
"İthal İkamesi","İthal ikamesi, yurt dışından ithal edilmekte olan malların, koruyucu ve özendirici önlemlerle yurt içinde üretilmesini öngören bir sanayileşme politikasıdır. İthal ikamesi politikası, bir yandan yüksek gümrük koruma önlemleriyle ithalatı kısıtlarken bir yandan da teşvik önlemleriyle ithal edilen malın yurtiçinde üretilmesini sağlamaya yönelir. Bu politikada ülke içinde kurulan üretim birimleri, her türlü dış ticaret ve kambiyo politikalarıyla dış piyasanın rekabetinden korunmaya çalışılır. Bu politika, özellikle yeni kurulan ve o nedenle bebek endüstriler adı verilen sanayi dalları için uygulanır. Yeni doğmuş bebeklerin anne tarafından korunmaya bakılmaya nasıl ihtiyacı varsa yeni kurulmuş endüstrilerin de yanı bakım ve korunmaya ihtiyacı olduğu düşüncesinden hareketle bu politika geliştirilmiştir."
"J Eğrisi","Devalüasyon ya da yerli paranın değer kaybetmesi, ilk aşamada yeni koşullara kolay uyum sağlanamayacağı ve yeteri kadar esnek olunamayacağı varsayımı altında dış dengeyi bozar. Bu durumda dış ticaret dengesinde açık yönünde bir yükselme ortaya çıkar. Bu bozulma bir süre sonra yeni koşullara uyum sağlanması sonucu bu kez ucuzlayan ihraç mallarına talebin artması ve pahalılaşan ithal mallarına talebin düşmesiyle tersine döner. Bu terse dönüş bir J harfini andırdığı için bu gelişmenin gösterildiği grafikteki dış ticaret dengesindeki değişimi gösteren eğriye J Eğrisi deniyor."
"Kalkınma","Ekonomik kalkınma, bir ülkede ya da bölgede yaşam standartlarının yükselmesidir. Yaşam standartları dediğimiz zaman gelir, tüketim ve tasarruf gücü gibi maddi kavramların yanı sıra eğitim, sağlık, kaliteli yiyecek ve su gibi genel kavramları da kastediyoruz. Bunu ölçmek için önerilen birçok endeks arasında en çok kabul göreni Birleşmiş Milletler tarafından yayımlanan 'insani gelişmişlik endeksi' dir."
"Kamu Kesimi İç Borçlanması","Kamu kesiminin iç piyasadan yaptığı borçlanmaya kamu kesimi iç borçlanması deniyor. Bu borçlanma ağırlıklı olarak Hazine tarafından yapıldığı için bazen Hazine iç borçlanması deyimi de eş anlamlı olarak kullanılıyor. Kamu kesimi iç borçlanmasının TL ile veya dövize endeksli olarak ya da dövizle yapılması borçlanmanın niteliğini değiştirmiyor ve bu borçlanma türü iç borçlanma olarak değerlendiriliyor."
